Info 0    [20:08:01.866] Starting TS Server
Info 1    [20:08:01.868] Version: 4.5.5
Info 2    [20:08:01.868] Arguments: /usr/bin/node /media/broccoli/Element1/00code/nextjs/ako-portfolio/node_modules/typescript/lib/tsserver.js --logFile /media/broccoli/Element1/00code/nextjs/ako-portfolio/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/d4d14c5c096dc323bc9f5aa84ba32fc8/tscancellation*
Info 3    [20:08:01.868] Platform: linux NodeVersion: 17 CaseSensitive: true
Info 4    [20:08:01.868] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [20:08:01.922] Format host information updated
Info 6    [20:08:01.985] Search path: /media/broccoli/Element1/00code/nextjs/ako-portfolio/components
Info 7    [20:08:02.056] For info: /media/broccoli/Element1/00code/nextjs/ako-portfolio/components/common.js :: No config files found.
Info 8    [20:08:02.074] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [20:08:11.526] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 9451.623346999288ms
Info 10   [20:08:11.526] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [20:08:11.527] 	Files (151)

Info 12   [20:08:11.527] -----------------------------------------------
Info 13   [20:08:11.639] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 14   [20:08:13.140] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1501.008839994669ms
Info 15   [20:08:13.140] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 16   [20:08:13.141] 	Files (187)

Info 17   [20:08:13.141] -----------------------------------------------
Info 18   [20:08:13.246] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [20:08:13.534] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 287.7087069898844ms
Info 20   [20:08:13.534] Different program with same set of files
Info 21   [20:08:13.535] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 22   [20:08:13.623] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 87.30137699842453ms
Info 23   [20:08:13.623] Different program with same set of files
Info 24   [20:08:13.653] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 25   [20:08:13.706] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 52.6859689950943ms
Info 26   [20:08:13.706] Different program with same set of files
Info 27   [20:08:13.714] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [20:08:13.759] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 44.971016988158226ms
Info 29   [20:08:13.759] Different program with same set of files
Info 30   [20:08:13.769] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [20:08:13.822] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 53.260407999157906ms
Info 32   [20:08:13.823] Different program with same set of files
Info 33   [20:08:13.832] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
